"filename", "language", "TypeScript React", "CSS", "JavaScript", "JSON with Comments", "Markdown", "JSON", "TypeScript", "XML", "comment", "blank", "total"
"c:\Users\alojz\dev\json-viewer\README.md", "Markdown", 0, 0, 0, 0, -20, 0, 0, 0, 0, -15, -35
"c:\Users\alojz\dev\json-viewer\modules\json-viewer\JsonViewer.module.css", "CSS", 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\alojz\dev\json-viewer\modules\json-viewer\JsonViewer.tsx", "TypeScript React", 49, 0, 0, 0, 0, 0, 0, 0, 27, 13, 89
"c:\Users\alojz\dev\json-viewer\modules\json-viewer\components\JsonViewer.tsx", "TypeScript React", -142, 0, 0, 0, 0, 0, 0, 0, 0, -17, -159
"c:\Users\alojz\dev\json-viewer\modules\json-viewer\components\Row.tsx", "TypeScript React", 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\alojz\dev\json-viewer\modules\json-viewer\jsonTokenizer.tsx", "TypeScript React", 4, 0, 0, 0, 0, 0, 0, 0, 5, 3, 12
"c:\Users\alojz\dev\json-viewer\modules\json-viewer\line-numbers\LineNumbers.tsx", "TypeScript React", 46, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\alojz\dev\json-viewer\modules\json-viewer\text-area\TextArea.tsx", "TypeScript React", 46, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\alojz\dev\json-viewer\modules\json-viewer\themes.tsx", "TypeScript React", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\alojz\dev\json-viewer\modules\test\testData.tsx", "TypeScript React", 44, 0, 0, 0, 0, 0, 0, 0, 0, 9, 53
"c:\Users\alojz\dev\json-viewer\next.config.js", "JavaScript", 0, 0, -5, 0, 0, 0, 0, 0, -1, -2, -8
"c:\Users\alojz\dev\json-viewer\package-lock.json", "JSON", 0, 0, 0, 0, 0, -2967, 0, 0, 0, -1, -2968
"c:\Users\alojz\dev\json-viewer\package.json", "JSON", 0, 0, 0, 0, 0, -24, 0, 0, 0, -1, -25
"c:\Users\alojz\dev\json-viewer\pages\_app.tsx", "TypeScript React", -5, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7
"c:\Users\alojz\dev\json-viewer\pages\api\hello.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -10, 0, -1, -3, -14
"c:\Users\alojz\dev\json-viewer\pages\index.tsx", "TypeScript React", -27, 0, 0, 0, 0, 0, 0, 0, 0, -3, -30
"c:\Users\alojz\dev\json-viewer\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -4
"c:\Users\alojz\dev\json-viewer\styles\Home.module.css", "CSS", 0, -112, 0, 0, 0, 0, 0, 0, 0, -18, -130
"c:\Users\alojz\dev\json-viewer\styles\globals.css", "CSS", 0, -23, 0, 0, 0, 0, 0, 0, 0, -4, -27
"c:\Users\alojz\dev\json-viewer\tsconfig.json", "JSON with Comments", 0, 0, 0, -20, 0, 0, 0, 0, 0, -1, -21
"c:\Users\alojz\dev\json-viewer\util\util.tsx", "TypeScript React", -9, 0, 0, 0, 0, 0, 0, 0, 0, -2, -11
"Total", "-", 38, -116, -5, -20, -20, -2991, -10, -4, 30, -20, -3118